font_family,count
Staatliches,2511
Stadio Now Novarese,705
Stadio Now Text,732
Stars & Love,808
Stars & Love Bottom Heavy,662
Stavok Grotesque,655
Stella,994
Stinger Fit,820
Stinger Wide,698
Sue Ellen Francisco,1707
Sugo Display,2925
Sukar,8326
Sunborn,1941
Sunday,3403
Suranna,779
Sweet Apricot,3729
Swung Note,1711
Symphony,903
TAN Aegean,9557
TAN Angleton,5178
TAN Ashford,2825
TAN Astoria,2130
TAN Buster,977
TAN Garland,2361
TAN Giok,983
TAN Harmoni,1419
TAN Headline,4834
TAN Jambore,2149
TAN Kindred,2891
TAN Meringue,6893
TAN Mignon,1513
TAN Mon Cheri,11539
TAN New York,1106
TAN Nightingale,1442
TAN Nimbus,5615
TAN Parfait,949
TAN Pearl,13348
TAN Songbird,2690
TAN St. Canard,1465
TAN Summers,868
TAN Tangkiwood,3994
TAN Twinkle,2104
TAN Vivre Libre,1025
TC Chaddlewood,694
TC Milo,1456
TC October,1676
TS Qamus,626
TT Backwards,1056
TT Bluescreens,1305
TT Chocolates,14446
TT Commons Pro,15326
TT Commons Pro Expanded,1433
TT Corals,1319
TT Drugs,6938
TT Firs Neue,6158
TT Fors,11998
TT Fors Display,882
TT Hazelnuts,2136
TT Hoves,19552
TT Interphases,17741
TT Interphases Mono,1653
TT Lakes Neue,882
TT Masters,899
TT Milks Script,820
TT Norms,18627
TT Octosquares,665
TT Ramillas,3334
TT Rounds Condensed,1139
TT Rounds Neue,1670
TT Runs,1247
TT Supermolot Neue,843
TT Wellingtons,835
Tabarra Round,1630
Tabarra Sans,791
Tallow Sans Pen,719
Tek Tall Arabic,717
Telegraf,40000
Tenor Sans,17780
Tex Gyre Bonum,736
Tex Gyre Pagella,854
Tex Gyre Termes,10989
The Seasons,40002
The Youngest,2411
The Youngest Script,1857
The Youngest Serif,3290
Times New Roman,6603
Times New Roman Condensed,7672
Titillium Web,1102
Tomorrow,4529
Touvlo,5898
Trebuchet MS,1158
Trocchi,1882
Trochut,805
Tropika,4435
Tropika Script,751
Tropikal,1032
True Typewriter,2715
Tufuli Arabic,994
Twister,1059
UKIJ Qolyazma Tuz,875
Ubuntu,7890
Ultra,777
Univers,3748
VAG Rounded Next,4072
VT323,898
Varela Round,5991
Versailles,1032
Vidaloka,3150
Vintage Goods,1511
Vintage Rotter,1169
Virtual,1974
Visby,753
Vollkorn,2238
WC Mano Negra Bold,953
Waffle Soft,2598
Walter Turncoat,710
Waterlily,711
Wedges,4836
White Star,874
Wide,1179
Woodland,1568
Work Sans,1694
XM Yekan,631
Yanone Kaffeesatz,1693
Yellowtail,5005
Yeseva One,8221
Yusei Magic,1002
Zcool XiaoWei,1754
Zen Maru Gothic,762
Zenaida,1560
Zing Rust Base,2062
Zuume Rough Bold,3754
